course_id,course_title,course_description,course_link,category,rating,instructor,image,is_paid,content_info,lang_s,tracking_id,predictive_score,relevancy_score,instructional_level_simple,last_update_date
1565838,The Complete Full-Stack Web Development Bootcamp,"Build 16 web development projects for your portfolio, ready to apply for junior developer jobs. Learn the latest technologies, including Javascript, React, Node and even Web3 development. After the course you will be able to build ANY website you want.",https://www.udemy.com/course/the-complete-web-development-bootcamp/,Development,4.6781363,"Dr. Angela Yu, Developer and Lead Instructor",https://img-c.udemycdn.com/course/100x100/1565838_e54e_18.jpg,TRUE,61.5 total hours,en,22XMWWy9Q0GiAt2n52iLSA,0.944629729,12930.58789,All Levels,2/27/2025
6035102,Complete web development course,Become a full stack developer Master of Javascript ecosystem Build any project for your company or for freelance projects,https://www.udemy.com/course/web-dev-master/,,4.689515,Hitesh Choudhary,https://img-c.udemycdn.com/course/100x100/6035102_7d1a.jpg,TRUE,79.5 total hours,en,H6fAftlrQXOujES8Qaee8Q,0.421035498,12822.56641,All Levels,3/15/2025
6375895,100 Hours Web Development Bootcamp - Build 23 React Projects,"Build real-world applications like Spotify, Tinder, Linkedin, Netflix & Twitter clones Master MERN Stack development from fundamentals to advanced concepts Implement authentication, real-time chat, and payment systems",https://www.udemy.com/course/the-web-dev-bootcamp/,Development,4.7686825,Burak Orkmez,https://img-c.udemycdn.com/course/100x100/6375895_c850_2.jpg,TRUE,125.5 total hours,en,jtzU_a-ISlCCGeUDkCnnLA,0.392448068,11937.94531,All Levels,4/15/2025
625204,The Web Developer Bootcamp 2025,"The ins and outs of HTML5, CSS3, and Modern JavaScript Make REAL web applications using cutting-edge technologies Create responsive, accessible, and beautiful layouts",https://www.udemy.com/course/the-web-developer-bootcamp/,Development,4.692042,Colt Steele,https://img-c.udemycdn.com/course/100x100/625204_436a_3.jpg,TRUE,74 total hours,en,18o2g432R9uoYJQFrJsx3g,-0.026010383,11592.94336,All Levels,4/15/2025
6061963,Complete Full Stack Web Development Bootcamp - AI Integrated,"Learn To Build Complete Web Applications By Working On The Full Stack. Understand How the Internet Works and How You Can Build Any Kind Of Website. Become Job Ready, Take Up A Freelancing Project or Build Your Dream Startup After Completing The Course.",https://www.udemy.com/course/complete-full-stack-web-development-bootcamp/,Development,4.617533,Manik (Cloudaffle),https://img-c.udemycdn.com/course/100x100/6061963_13c1_3.jpg,TRUE,62.5 total hours,en,lN-MM5O_Qx2_rVvBiRuONg,-0.301699579,12248.7207,All Levels,1/29/2025
3655840,The Ultimate 2025 Fullstack Web Development Bootcamp,Be able to build ANY website you want. Build fully-fledged websites and web apps for your startup or business. Master backend development with Django and Python,https://www.udemy.com/course/the-ultimate-fullstack-web-development-bootcamp/,Development,4.610488,"Kane Ezki, Kalob Taulien, Radek Wilk",https://img-c.udemycdn.com/course/100x100/3655840_1c3c.jpg,TRUE,55 total hours,en,jC1m9XN2QpCM30RAcAihMg,-0.42202729,12282.59961,All Levels,1/2/2025
4505104,Full Stack Web Development With MERN STACK &  GenAI 2025,Build AI Content Detector Project  Using Cursor AI Learn How to Integrate GenAI into Projects Learn How To Master AI Prompting For Developers,https://www.udemy.com/course/fullstack-web-development-course-projects-base/,Development,4.3122888,"Masynctech Coding School, Aditya Mandal",https://img-c.udemycdn.com/course/100x100/4505104_8592_8.jpg,TRUE,88 total hours,en,LwazI6XDT0y8D-mgWh3Ipw,-0.592379391,12308.25586,All Levels,3/14/2025
1778502,iOS & Swift - The Complete iOS App Development Bootcamp,"You will create a portfolio of 15 apps to be able apply for junior developer jobs at a technology company You will learn Xcode, UIKit and SwiftUI, ARKit, CoreML and CoreData. You will learn by doing, where every lesson is incorporated into a real-world app project.",https://www.udemy.com/course/ios-13-app-development-bootcamp/,Development,4.6480355,"Dr. Angela Yu, Developer and Lead Instructor",https://img-c.udemycdn.com/course/100x100/1778502_f4b9_12.jpg,TRUE,60.5 total hours,en,B179xNuJTAq1BEGAxnJ0SA,-0.651663482,12152.88867,All Levels,12/9/2024
6538033,Full Stack Web Development: Complete Web Development Course,"Pay just 9.99 by entering the code WEB2025 Build Complete Web Applications: Learn to create projects from scratch, covering both front-end and back-end. Master Essential Languages: Work with HTML, CSS, JavaScript, Node js, React, and more.",https://www.udemy.com/course/full-stack-web-development-complete-web-development/,Development,5,Full Stack Web Development (Complete Web Development Course),https://img-c.udemycdn.com/course/100x100/6538033_36f7_2.jpg,TRUE,27.5 total hours,en,QTGdC5fjRzuFBaNOJ5dRfg,-0.661195636,11928.31738,All Levels,4/1/2025
2642574,The Complete Android 14 & Kotlin Development Masterclass,"You can build any Android app you can think of. No matter if it is an idea that you or your friends have, or if it is a contract job that you need to develop. You will build Apps for your portfolio to apply for jr. Android developer Jobs. You Will Be Proficient in XML",https://www.udemy.com/course/android-kotlin-developer/,Development,4.4708047,"Denis Panjuta, Tutorials.eu by Denis Panjuta",https://img-c.udemycdn.com/course/100x100/2642574_61bb_2.jpg,TRUE,66.5 total hours,en,CFZm2Hc2TwmGIzLEhw8PFg,-0.716121852,11722.03418,All Levels,11/20/2024
